instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32
si4_m4Dr6_m256.02 42 1 8 4
si4_m4Dr6_m256.04 152 4 19 5
si2_b03m_m400.02 32 6 9 6
si2_b03m_m400.00 32 2 12 3
si2_b03m_m400.01 34 1 12 5
si2_b03m_m400.05 50 6 13 6
si2_b03m_m400.08 34 1 14 3
si2_b03m_m400.07 34 3 13 4
si2_b03m_m400.09 30 2 14 5
si2_b03m_m400.03 24 1 12 4
si2_b03m_m400.04 38 2 21 4
si2_b03m_m400.06 39 1 15 5
si2_b03m_m200.05 11 0 6 2
si2_b03m_m200.03 6 0 7 2
si2_b03m_m200.00 10 0 7 2
si2_b03m_m200.08 10 0 7 2
si2_b03m_m200.06 8 0 8 3
si2_b03m_m200.02 8 0 7 2
si2_b03m_m200.09 7 0 8 3
si2_b03m_m200.04 7 0 8 2
si2_b03m_m200.01 8 0 11 3
si2_b03m_m200.07 7 0 8 3
si4_r001_m200.04 412 26 76 7
si4_r001_m200.07 701 2 21 8
si4_r001_m200.00 13 74 18 7
si4_r001_m200.01 116 1 18 4
si4_r001_m200.03 5083 229 70 8
si4_r001_m200.06 9 3 13 6
si4_r001_m200.05 385 45 17 13
si4_r001_m200.08 27 2 19 5
si4_r001_m200.09 18212 353 230 17
si4_r001_m200.02 522 14 36 7
si2_m4D_m256.08 19 1 10 4
si2_m4D_m256.03 12 1 6 2
si2_m4D_m256.02 17 1 4 2
si2_m4D_m256.06 16 0 8 2
si2_m4D_m256.04 13 0 8 4
si2_m4D_m256.07 22 2 7 4
si2_m4D_m256.01 17 0 4 3
si2_m4D_m256.09 26 1 9 2
si2_m4D_m256.00 13 1 9 6
si2_m4D_m256.05 19 1 7 4
si6_r01_m400.04 42947 45 1785 54
si6_r01_m400.08 37558 30 1547 26
si6_r01_m400.07 29647 3 1207 4
si6_r01_m400.06 24903 31 1035 17
si6_r01_m400.05 76041 9 2792 47
si6_r01_m400.02 58079 5 2005 23
si6_r01_m400.00 92573 19 3557 17
si6_r01_m400.03 8228 143 415 14
si6_r01_m400.01 24439 118 896 8
si6_r01_m400.09 46126 281 1894 14
si2_m4Dr4_m625.07 685 16 14 8
si2_m4Dr4_m625.02 52 4 20 7
si2_m4Dr4_m625.03 51 2 14 5
si2_m4Dr4_m625.00 86 5 14 7
si2_m4Dr4_m625.05 81 5 11 7
si2_m4Dr4_m625.06 286 13 15 8
si2_m4Dr4_m625.09 28767 2170 15 24
si2_m4Dr4_m625.01 128 3 20 9
si2_m4Dr4_m625.08 217 28 20 9
si2_m4Dr4_m625.04 18621 365 19 19
si4_r01_m400.01 23917 103 957 5
si4_r01_m400.08 101780 5 4301 29
si4_r01_m400.02 287133 88 10018 622
si4_r01_m400.03 103863 290 4549 24
si4_r01_m400.07 233628 64 9388 495
si4_r01_m400.06 28061 12 1072 131
si4_r01_m400.04 261501 2042 10825 564
si4_r01_m400.00 304768 1426 12697 318
si4_r01_m400.05 28082 247 969 33
si4_r01_m400.09 61819 1048 2664 327
si2_b09m_m400.09 19 1 6 2
si2_b09m_m400.03 42 2 7 2
si2_b09m_m400.01 43 2 7 2
si2_b09m_m400.08 21 1 9 3
si2_b09m_m400.05 21 4 9 4
si2_b09m_m400.06 33 2 7 3
si2_b09m_m400.00 33 2 6 5
si2_b09m_m400.02 20 1 8 3
si2_b09m_m400.04 19 1 9 3
si2_b09m_m400.07 33 3 6 3
si2_b09_m800.07 61 8 15 8
si2_b09_m800.04 72 5 17 10
si2_b09_m800.05 63 6 15 9
si2_b09_m800.00 74 9 11 10
si2_b09_m800.02 61 6 14 10
si2_b09_m800.01 72 4 20 10
si2_b09_m800.08 68 8 18 10
si2_b09_m800.09 75 8 16 10
si2_b09_m800.03 62 6 19 10
si2_b09_m800.06 62 6 16 10
si6_b03_m400.04 50 2 26 5
si6_b03_m400.09 54 2 24 6
si6_b03_m400.02 59 2 26 6
si6_b03_m400.06 55 2 23 4
si6_b03_m400.05 45 2 25 5
si6_b03_m400.08 41 3 26 6
si6_b03_m400.01 52 3 27 6
si6_b03_m400.07 41 3 24 4
si6_b03_m400.03 53 4 30 7
si6_b03_m400.00 35 4 27 7
si2_r005_m600.03 24319 853 1168 180
