instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r clique-par/t4 clique-par/t2 clique-prime clique-prime-par/t32 james-cpp-max-prime james-cpp-max-prime-par/t32
mcs10_b03m_s50_AB00 100000 26839 20742 10761 7750 7740 7469 421 326 320 13847 13899 310 39375 81064 100000 7418 26004 319
mcs10_b03m_s50_AB01 100000 42461 79835 29915 21782 22408 21992 340 163 160 45839 47741 180 100000 100000 100000 20169 10499 173
mcs10_b03m_s50_AB02 100000 100000 100001 60993 44720 44441 44639 1021 1030 927 78335 78610 759 100001 100000 100000 44358 100000 1020
mcs10_b03m_s50_AB03 100000 100000 100001 89866 72970 93505 72411 4867 3114 1641 100000 100000 1784 100001 100000 100000 51300 100000 2478
mcs10_b03m_s50_AB04 35676 49650 5404 5224 5266 1134 1712 730 452 353 4587 1666 430 7717 12596 17772 980 42118 398
mcs10_b03m_s50_AB05 100000 100000 100001 74552 56464 53852 56546 3928 3234 2800 100000 100000 2911 100001 100000 100000 55153 100000 2775
mcs10_b03m_s50_AB06 22913 5320 662 446 180 254 224 93 74 79 347 278 84 929 1855 1740 142 2960 79
mcs10_b03m_s50_AB07 100000 100000 68211 35924 27627 27294 27803 1330 1232 1241 42492 42038 1211 100001 100000 100000 22851 31435 1071
mcs10_b03m_s50_AB08 100000 100000 100001 100002 100002 100034 100002 2945 2959 2711 100000 100000 2948 100001 100000 100000 100002 100000 2983
mcs10_b03m_s50_AB09 100000 100000 100001 100002 71941 72423 72232 53704 21263 13953 100000 100000 15968 100001 100000 100000 72278 100000 18048
mcs10_b03m_s60_AB00 3830 34035 517 287 198 207 201 3082 3058 3264 342 333 3007 957 1946 3822 197 24980 2997
mcs10_b03m_s60_AB01 79 39478 32 27 27 31 25 6506 6716 6714 37 48 6896 36 50 84 24 22028 6584
mcs10_b03m_s60_AB02 38452 1988 16722 8345 4170 4786 4121 305 217 127 1796 2259 142 26716 31544 14687 1811 1020 298
mcs10_b03m_s60_AB03 34469 5430 4541 2477 1818 1674 1772 852 921 967 3578 3584 906 8642 17603 34272 1644 3580 990
mcs10_b03m_s60_AB04 47843 30633 6339 3353 2385 2340 2407 8946 6307 5378 3242 3162 6191 11066 22583 43684 2067 21901 6133
mcs10_b03m_s60_AB05 41239 9754 5825 2639 1745 1842 1807 268 258 258 3141 3341 291 11039 21605 39904 1814 4763 247
mcs10_b03m_s60_AB06 4686 100000 1198 502 327 379 302 7865 3416 8024 513 680 6338 1670 2778 3934 232 27162 8259
mcs10_b03m_s60_AB07 281 23471 44 35 40 40 38 1807 1661 1796 44 34 1830 74 120 210 42 23505 1805
mcs10_b03m_s60_AB08 6428 10452 914 539 388 461 402 2486 2488 1979 529 544 1929 1614 3253 6400 381 7434 2444
mcs10_b03m_s60_AB09 19229 100000 2120 1604 1586 721 1606 827 794 793 601 633 846 3096 8125 8524 405 26954 828
mcs10_b03m_s70_AB00 100000 100000 100001 68624 47767 47840 46838 5981 4907 3914 77763 81494 3747 100000 100000 100000 44583 100000 3650
mcs10_b03m_s70_AB01 100000 100000 100001 100002 100002 100032 100002 86516 68404 59683 100000 100000 59779 100001 100000 100000 100003 100000 62281
mcs10_b03m_s70_AB02 100000 100000 100001 100001 100002 100033 100002 67429 67351 67284 100000 100000 67827 100001 100000 100000 100002 100000 67518
mcs10_b03m_s70_AB03 82410 100000 14220 8322 6502 4231 6502 100000 100000 100001 3032 4077 100001 19453 46261 45249 2244 100000 100001
mcs10_b03m_s70_AB04 100000 100000 100001 100004 100013 100030 100013 100000 100001 100002 100000 100000 100002 100001 100000 100000 100011 100000 100002
mcs10_b03m_s70_AB05 100000 100000 100001 100001 100008 100023 100008 61832 45654 39104 100000 100000 41352 100000 100000 100000 100007 100000 46685
mcs10_b03m_s70_AB06 100000 100000 100001 100001 100002 100037 100002 100000 100001 100001 100000 100000 100002 100001 100001 100000 100002 100000 100002
mcs10_b03m_s70_AB07 100000 100000 100001 100001 100003 100004 100003 100000 100000 100001 100000 100000 100001 100000 100000 100000 100002 100000 100001
mcs10_b03m_s70_AB08 100000 100000 100001 100002 100003 100032 100002 6902 5927 4464 100000 100000 4677 100000 100000 100000 100002 100000 4423
mcs10_b03m_s70_AB09 100000 100000 55461 30325 22311 21392 22715 100001 100001 100001 34076 34363 100002 100001 100000 100000 22456 100000 100002
mcs10_b03m_s80_AB00 100000 100000 100001 100001 100003 100004 100002 100000 100001 100001 100000 100001 100001 100001 100000 100000 100002 100000 100002
mcs10_b03m_s80_AB01 100000 100000 100001 100001 100002 100012 100003 100000 100001 100001 100000 100001 100002 100001 100000 100000 100003 100000 100001
mcs10_b03m_s80_AB02 100000 100000 100001 100002 100003 100006 100003 100000 100001 100001 100000 100001 100001 100001 100001 100000 100003 100000 100001
mcs10_b03m_s80_AB03 100000 100000 100001 100001 100002 100004 100003 100000 100001 100002 100000 100001 100002 100001 100000 100000 100003 100000 100002
mcs10_b03m_s80_AB04 100000 100000 100001 100001 100003 100003 100003 100000 100001 100001 100001 100000 100002 100001 100000 100000 100003 100000 100002
mcs10_b03m_s80_AB05 100000 100000 100001 100001 100003 100004 100003 100000 100001 100002 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_b03m_s80_AB06 100000 100000 100001 100002 100003 100037 100002 100000 100001 100001 100000 100001 100002 100001 100001 100000 100004 100000 100002
mcs10_b03m_s80_AB07 100000 100000 100001 100001 100011 100030 100009 100000 100000 100001 100000 100000 100001 100001 100001 100000 100014 100000 100001
mcs10_b03m_s80_AB08 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100000 100001 100002 100001 100001 100000 100003 100000 100002
mcs10_b03m_s80_AB09 100000 100000 100001 100001 100003 100015 100003 100000 100000 100002 100001 100000 100002 100001 100000 100000 100003 100000 100002
mcs10_b03m_s90_AB00 100000 100000 100001 100002 100003 100004 100003 100000 100001 100002 100001 100001 100002 100001 100001 100000 100003 100000 100001
mcs10_b03m_s90_AB01 100000 100000 100001 100001 100003 100004 100003 100000 100001 100002 100000 100000 100002 100001 100001 100000 100003 100000 100001
mcs10_b03m_s90_AB02 100000 100000 100001 100002 100003 100005 100003 100000 100001 100002 100001 100001 100002 100001 100001 100000 100003 100000 100002
mcs10_b03m_s90_AB03 100000 100000 100001 100002 100003 100005 100003 100000 100001 100002 100001 100001 100001 100001 100001 100000 100003 100000 100001
mcs10_b03m_s90_AB04 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100001 100001 100002 100001 100001 100000 100004 100000 100001
mcs10_b03m_s90_AB05 100000 100000 100001 100002 100003 100016 100003 100000 100000 100002 100001 100001 100001 100001 100001 100000 100003 100000 100001
mcs10_b03m_s90_AB06 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100001 100001 100002 100001 100001 100000 100003 100000 100002
mcs10_b03m_s90_AB07 100000 100000 100001 100001 100003 100014 100003 100000 100001 100002 100001 100001 100001 100001 100001 100000 100003 100000 100002
mcs10_b03m_s90_AB08 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100000 100001 100001 100001 100001 100000 100003 100000 100001
mcs10_b03m_s90_AB09 100000 100000 100001 100002 100003 100016 100003 100000 100001 100001 100001 100001 100001 100001 100001 100000 100003 100000 100002
mcs10_b06_s100_AB00 100000 100000 34184 20178 15676 15722 15752 100000 100000 100001 17031 17122 100001 65507 100000 100000 15403 100000 100000
mcs10_b06_s100_AB01 100000 100000 34351 17540 13269 13036 13318 100000 100000 100001 16979 17019 100001 66180 100000 100000 13291 100000 100001
mcs10_b06_s100_AB02 9319 100000 1202 670 479 549 480 100000 100001 100001 572 591 100001 2267 4831 9083 465 100000 100001
mcs10_b06_s100_AB03 100000 100000 94204 49485 42879 43213 42576 100000 100000 100000 46050 45614 100001 100001 100000 100000 42073 100000 100001
mcs10_b06_s100_AB04 5128 100000 704 487 360 382 375 100000 100000 100001 331 322 100001 1328 2609 5079 334 100000 100001
