instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32 clique-par/t2 clique-par/t4 clique-par/t8 clique-par/t16 clique-par/t32r
mcs10_b06_s100_AB04 3990 917567 276 971783 2290 1083 666 426 321
mcs10_b06_s100_AB05 341485 1000000 18074 503600 204914 78887 58782 28686 18091
mcs10_b06_s100_AB06 7665 1000000 646 502250 4127 1830 1307 771 575
mcs10_b06_s100_AB07 287873 1000000 8539 1000004 174141 59614 44198 16432 8568
mcs10_b06_s100_AB08 335364 1000000 12397 1000002 203928 75690 43339 22844 12297
mcs10_b06_s100_AB09 6419 1000000 411 468893 3966 1835 1200 714 386
mcs10_b06_s70_AB00 2751 487342 271 151852 1859 859 511 316 210
mcs10_b06_s70_AB01 2041 49405 170 10980 1043 557 316 213 131
mcs10_b06_s70_AB02 8643 779802 495 359231 5258 2277 1309 822 461
mcs10_b06_s70_AB03 1061 42453 144 14579 688 389 229 146 137
mcs10_b06_s70_AB04 2562 140904 192 25526 1546 691 443 226 151
mcs10_b06_s70_AB05 4178 135411 348 39710 2108 1066 669 444 338
mcs10_b06_s70_AB06 16322 197801 788 48233 8312 3315 2143 1117 719
mcs10_b06_s70_AB07 2814 63884 209 11017 1796 887 518 286 200
mcs10_b06_s70_AB08 24508 186112 1688 50698 14835 7316 6369 3540 1652
mcs10_b06_s70_AB09 10876 185401 593 21151 6731 2742 1558 883 558
mcs10_b06_s80_AB00 400318 1000000 11443 83118 239962 79131 52391 22168 11217
mcs10_b06_s80_AB01 915728 1000000 24636 1000002 470994 152911 82935 40891 20799
mcs10_b06_s80_AB02 185892 120847 7407 5317 104254 37597 23481 10216 7100
mcs10_b06_s80_AB03 605949 482231 26106 187253 381241 140439 99438 46087 26541
mcs10_b06_s80_AB04 507921 1000000 20639 1000006 311871 115393 58902 30612 20091
mcs10_b06_s80_AB05 247642 1000000 8277 145262 144487 53442 36361 15647 8319
mcs10_b06_s80_AB06 1000000 1000000 34214 189493 544569 177872 115704 50903 28757
mcs10_b06_s80_AB07 1000000 1000000 87080 1000006 1000000 601356 411466 173022 86800
mcs10_b06_s80_AB08 122628 436423 6379 258207 77947 29499 17832 10172 6147
mcs10_b06_s80_AB09 98656 1000000 4959 1000002 62489 23676 15474 7164 4828
mcs10_b06_s90_AB00 370238 1000000 12498 1000002 219093 80563 46335 23816 12402
mcs10_b06_s90_AB01 1000000 1000000 1000002 1000003 1000001 1000001 1000001 1000001 1000002
mcs10_b06_s90_AB02 1000000 1000000 794209 1000001 1000001 1000001 1000001 1000001 796382
mcs10_b06_s90_AB03 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000002 1000002
mcs10_b06_s90_AB04 1000000 1000000 376223 1000001 1000001 1000001 1000001 728947 383637
mcs10_b06_s90_AB05 1000000 1000000 520721 1000002 1000001 1000001 1000001 1000002 518115
mcs10_b06_s90_AB06 1000000 1000000 1000002 1000001 1000001 1000001 1000000 1000001 1000002
mcs10_b06_s90_AB07 1000000 1000000 1000002 1000002 1000001 1000001 1000001 1000001 1000002
mcs10_b06_s90_AB08 1000000 1000000 1000013 1000003 1000001 1000001 1000001 1000001 1000010
mcs10_b06_s90_AB09 1000000 1000000 830299 1000002 1000001 1000001 1000001 1000001 819664
mcs10_b06m_s100_AB00 6499 331839 504 39578 4004 1640 1230 843 440
mcs10_b06m_s100_AB01 462518 1000000 14538 1000001 243045 89656 47012 23772 12203
mcs10_b06m_s100_AB02 13722 1000000 869 595405 8261 3482 2338 1261 791
mcs10_b06m_s100_AB03 56652 1000000 1778 590238 29223 10710 6024 3134 1858
