instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32 kdown-par/t32r kdown-cilk/t32 kdown-cilk/t32r
si2_b03m_m800.05 131 6 66 12 64 164 150
si2_b03m_m800.01 133 9 73 14 84 123 121
si2_b03m_m800.08 133 6 79 11 79 187 163
si2_b03m_m800.07 141 100003 49 100002 50 127 144
si2_b03m_m800.00 138 6 57 11 54 129 145
si2_r001_m200.06 805 6 514 20 536 72 52
si2_r001_m200.01 2011 380 8 16 8 42 42
si2_r001_m200.02 2950 235 248 7 297 82 124
si2_r001_m200.07 38 1 10 4 11 26 20
si2_r001_m200.04 129 3 12 10 11 19 34
si2_r001_m200.05 86546 100000 185 39 191 91 43
si2_r001_m200.09 100000 65269 1254 6 1321 469 473
si2_r001_m200.03 2501 2624 25 3 28 203 122
si2_r001_m200.00 23 0 9 2 9 20 24
si2_r001_m200.08 100000 18746 69674 93 90440 40229 33924
si6_b03m_m800.01 477 9 130 13 128 369 369
si6_b03m_m800.08 404 10 110 15 112 308 298
si6_b03m_m800.03 398 87 99 94 97 264 266
si6_b03m_m800.00 470 9 106 14 108 294 285
si6_b03m_m800.04 500 9 112 13 103 289 309
si6_b03m_m800.05 398 18 121 15 137 339 349
si6_b03m_m800.07 451 9 116 14 119 310 303
si6_b03m_m800.06 627 13 106 14 119 354 328
si6_b03m_m800.09 453 9 118 11 121 339 336
si6_b03m_m800.02 508 11 115 14 110 337 309
si4_r005_m200.00 755 18 101 5 90 106 111
si4_r005_m200.08 323 2 43 5 42 76 59
si4_r005_m200.02 446 35 47 20 53 70 61
si4_r005_m200.05 188 2 29 5 30 71 43
si4_r005_m200.06 127 2 20 4 19 40 41
si4_r005_m200.04 1428 4 151 12 146 159 170
si4_r005_m200.07 550 6 69 6 65 93 92
si4_r005_m200.09 426 9 49 7 53 73 66
si4_r005_m200.01 581 2 69 30 70 95 89
si4_r005_m200.03 453 8 50 5 53 74 70
si6_b09m_m400.03 85 3 23 5 21 55 61
si6_b09m_m400.07 84 6 23 6 22 56 70
si6_b09m_m400.00 95 3 25 6 23 57 59
si6_b09m_m400.04 138 4 26 6 21 58 64
si6_b09m_m400.06 85 3 21 5 20 65 57
si6_b09m_m400.08 86 3 25 5 26 68 71
si6_b09m_m400.02 86 3 27 6 23 60 68
si6_b09m_m400.05 84 3 22 5 25 56 58
si6_b09m_m400.09 109 4 25 6 23 65 61
si6_b09m_m400.01 86 5 23 6 22 59 58
si2_b09_m200.08 3 0 6 3 5 29 24
si2_b09_m200.01 3 0 5 4 4 13 51
si2_b09_m200.06 3 0 5 2 4 24 21
si2_b09_m200.05 3 0 5 3 5 31 21
si2_b09_m200.00 5 0 5 3 5 32 27
si2_b09_m200.02 3 0 4 7 5 21 39
si2_b09_m200.03 3 0 5 3 5 24 29
