instance kdown james-cpp-max-down
si2_m4Dr4_m1296.03 1698 7182
si2_m4Dr4_m1296.05 50 1917
si2_m4Dr4_m1296.06 29 2058
si2_m4Dr4_m1296.04 51 1163506
si2_m4Dr4_m1296.09 220 4852
si2_m4Dr4_m1296.01 91 2739
si2_m4Dr4_m1296.00 338 5263
si2_m4Dr4_m1296.02 1143 12303
si6_m4Dr6_m1296.02 412 5544
si6_m4Dr6_m1296.08 23 2976
si6_m4Dr6_m1296.07 22 2942
si6_m4Dr6_m1296.06 9 2881
si6_m4Dr6_m1296.03 22 3006
si6_m4Dr6_m1296.04 40 3279
si6_m4Dr6_m1296.05 273 3688
si6_m4Dr6_m1296.00 15 2919
si6_m4Dr6_m1296.09 22 2938
si6_m4Dr6_m1296.01 14 2899
si4_m4Dr2_m256.00 15 1520
si4_m4Dr2_m256.01 12 494
si4_m4Dr2_m256.05 48 683
si4_m4Dr2_m256.04 106 1153
si4_m4Dr2_m256.08 35 606
si4_m4Dr2_m256.07 39 799
si4_m4Dr2_m256.06 18 848
si4_m4Dr2_m256.02 9 496
si4_m4Dr2_m256.09 15 718
si4_m4Dr2_m256.03 47 640
si4_b09m_m200.01 5 400
si4_b09m_m200.00 8 465
si4_b09m_m200.03 5 580
si4_b09m_m200.06 9 672
si4_b09m_m200.02 5 377
si4_b09m_m200.04 8 525
si4_b09m_m200.05 5 382
si4_b09m_m200.07 5 397
si4_b09m_m200.08 5 381
si4_b09m_m200.09 9 408
si4_m4Dr4_m625.07 48 1529
si4_m4Dr4_m625.05 33 1278
si4_m4Dr4_m625.01 107 1618
si4_m4Dr4_m625.08 612 1718
si4_m4Dr4_m625.09 36 3349
si4_m4Dr4_m625.00 45 4945
si4_m4Dr4_m625.04 23 1230
si4_m4Dr4_m625.06 26 1259
si4_m4Dr4_m625.03 130 1467
si4_m4Dr4_m625.02 20 1184
si4_m4Dr4_m1296.03 53 2717
si4_m4Dr4_m1296.01 157 3347
si4_m4Dr4_m1296.00 55 2696
si4_m4Dr4_m1296.07 31 2403
si4_m4Dr4_m1296.02 27 2391
si4_m4Dr4_m1296.04 149 4085
si4_m4Dr4_m1296.09 128 3410
si4_m4Dr4_m1296.06 8538 17172
si4_m4Dr4_m1296.08 83 2786
si4_m4Dr4_m1296.05 4493 11464
si2_r005_m400.05 53505 697911
si2_r005_m400.06 10258 281929
si2_r005_m400.08 64287 305554
si2_r005_m400.02 NaN 945573
si2_r005_m400.03 62311 147849
