instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_m2Dr6_s90_AB02 94 0 104 1
mcs10_m2Dr6_s90_AB03 130 0 131 1
mcs10_m2Dr6_s90_AB04 69 0 103 1
mcs10_m2Dr6_s90_AB05 129 1 100 1
mcs10_m2Dr6_s90_AB06 114 0 113 2
mcs10_m2Dr6_s90_AB07 162 1 112 2
mcs10_m2Dr6_s90_AB08 103 0 108 2
mcs10_m2Dr6_s90_AB09 125 0 81 6
mcs10_m3D_s100_AB00 60 0 52 1
mcs10_m3D_s100_AB01 40 0 42 1
mcs10_m3D_s100_AB02 46 0 35 2
mcs10_m3D_s100_AB03 37 1 48 2
mcs10_m3D_s100_AB04 67 0 45 1
mcs10_m3D_s100_AB05 65 1 53 2
mcs10_m3D_s100_AB06 47 1 67 1
mcs10_m3D_s100_AB07 40 0 44 1
mcs10_m3D_s100_AB08 38 1 40 1
mcs10_m3D_s100_AB09 57 0 41 1
mcs10_m3D_s60_AB00 16 0 15 2
mcs10_m3D_s60_AB01 15 0 16 1
mcs10_m3D_s60_AB02 32 0 20 1
mcs10_m3D_s60_AB03 34 0 21 2
mcs10_m3D_s60_AB04 30 0 19 1
mcs10_m3D_s60_AB05 29 0 29 1
mcs10_m3D_s60_AB06 19 0 20 3
mcs10_m3D_s60_AB07 21 0 18 2
mcs10_m3D_s60_AB08 15 0 14 3
mcs10_m3D_s60_AB09 20 0 33 1
mcs10_m3D_s70_AB00 36 0 32 2
mcs10_m3D_s70_AB01 35 0 39 1
mcs10_m3D_s70_AB02 33 0 36 1
mcs10_m3D_s70_AB03 51 0 48 2
mcs10_m3D_s70_AB04 39 0 46 2
mcs10_m3D_s70_AB05 33 0 52 2
mcs10_m3D_s70_AB06 31 0 32 1
mcs10_m3D_s70_AB07 51 0 57 2
mcs10_m3D_s70_AB08 61 0 39 1
mcs10_m3D_s70_AB09 33 0 29 2
mcs10_m3D_s80_AB00 53 0 68 1
mcs10_m3D_s80_AB01 61 0 62 2
mcs10_m3D_s80_AB02 72 0 58 1
mcs10_m3D_s80_AB03 54 0 53 1
mcs10_m3D_s80_AB04 76 0 79 2
mcs10_m3D_s80_AB05 112 0 66 1
mcs10_m3D_s80_AB06 62 0 59 2
mcs10_m3D_s80_AB07 57 0 63 1
mcs10_m3D_s80_AB08 71 0 44 1
mcs10_m3D_s80_AB09 68 0 60 1
mcs10_m3D_s90_AB00 171 0 139 3
mcs10_m3D_s90_AB01 88 0 103 2
mcs10_m3D_s90_AB02 116 1 108 2
mcs10_m3D_s90_AB03 80 0 109 1
mcs10_m3D_s90_AB04 101 0 93 1
mcs10_m3D_s90_AB05 89 0 75 2
mcs10_m3D_s90_AB06 107 1 131 2
mcs10_m3D_s90_AB07 87 1 84 2
mcs10_m3D_s90_AB08 110 0 90 2
mcs10_m3D_s90_AB09 110 1 108 2
mcs10_m3Dr2_s100_AB00 50 0 35 2
mcs10_m3Dr2_s100_AB01 76 0 50 1
mcs10_m3Dr2_s100_AB02 56 0 45 1
mcs10_m3Dr2_s100_AB03 58 0 34 2
mcs10_m3Dr2_s100_AB04 55 0 46 2
mcs10_m3Dr2_s100_AB05 59 0 47 1
mcs10_m3Dr2_s100_AB06 44 0 50 2
mcs10_m3Dr2_s100_AB07 72 1 38 2
