instance clique james-cpp-max kdown clique-par/t32 james-cpp-max-par/t32 kdown-par/t32 james-cpp-max-par/t4 james-cpp-max-par/t16 james-cpp-max-par/t32r kdown-par/t4 kdown-par/t16 kdown-par/t32r
mcs10_r02_s20_AB00 106 180 3004 25 32 1073 91 38 31 1402 872 986
mcs10_r02_s20_AB01 70 92 1761 24 27 509 47 25 20 728 527 508
mcs10_r02_s20_AB02 47 40 1030 23 20 513 34 26 21 678 443 509
mcs10_r02_s20_AB03 94 110 1488 41 25 534 66 28 25 1000 505 508
mcs10_r02_s20_AB04 116 160 2782 28 28 823 68 36 33 1779 813 763
mcs10_r02_s20_AB05 129 206 2697 36 40 1044 114 51 36 1513 830 984
mcs10_r02_s20_AB06 91 163 2593 42 29 959 65 27 26 1249 781 864
mcs10_r02_s20_AB07 141 165 2627 44 39 860 90 47 35 1386 631 955
mcs10_r02_s20_AB08 97 131 1885 36 27 703 89 31 28 976 598 708
mcs10_r02_s20_AB09 78 67 1312 40 24 489 51 17 27 782 493 432
mcs10_r02_s25_AB00 920 1348 30052 104 183 6902 822 262 204 11879 5664 6937
mcs10_r02_s25_AB01 1502 1479 38824 165 285 8300 691 335 269 13381 6806 7791
mcs10_r02_s25_AB02 1325 1912 50491 143 257 12163 957 344 250 21763 9280 12025
mcs10_r02_s25_AB03 1254 1003 19400 130 111 5163 593 184 134 10404 3976 4970
mcs10_r02_s25_AB04 1303 1429 39199 154 290 9320 957 399 320 14205 7236 9067
mcs10_r02_s25_AB05 1232 1566 42089 134 237 10248 922 354 264 18813 8221 10122
mcs10_r02_s25_AB06 1539 1956 59819 121 320 13325 773 340 305 19677 9574 12096
mcs10_r02_s25_AB07 1842 2232 54349 151 419 12325 1238 524 436 20289 9737 12270
mcs10_r02_s25_AB08 721 1117 30072 116 172 6672 497 247 213 11490 6635 6799
mcs10_r02_s25_AB09 1461 1637 37665 136 287 8666 1041 397 327 13026 6899 8986
mcs10_r02_s30_AB00 13647 19365 623366 577 2896 119770 9704 3793 2990 251684 99165 125474
mcs10_r02_s30_AB01 16187 23328 788771 735 3932 148680 9155 4033 3182 250778 111828 126047
mcs10_r02_s30_AB02 17906 22076 719541 834 4892 137537 9555 5109 4851 269294 130603 136238
mcs10_r02_s30_AB03 20743 26101 778233 904 5024 163709 12624 5432 4799 274232 133093 158294
mcs10_r02_s30_AB04 19020 25491 874509 815 5612 199962 10630 5786 5123 342796 163078 181122
mcs10_r02_s30_AB05 16219 21039 548416 682 2963 130663 10212 4036 3142 268225 116737 131907
mcs10_r02_s30_AB06 15487 25590 975731 642 5814 181188 12166 5567 4481 292928 138380 164081
mcs10_r02_s30_AB07 10609 16121 410787 454 2041 108687 8041 2548 1989 224160 97731 110096
mcs10_r02_s30_AB08 20163 27310 868625 800 6410 178957 14032 6724 6086 330378 159426 178303
mcs10_r02_s30_AB09 21436 26466 833819 825 5203 174751 12963 6415 5400 333411 147190 172067
mcs10_r02_s35_AB00 337774 338059 1000000 10037 80562 1000001 151616 94057 80121 1000000 1000000 1000001
mcs10_r02_s35_AB01 351083 352194 1000000 10435 64037 1000001 132343 55164 46180 1000000 1000000 1000001
