instance clique james-cpp-max kdown clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t4 kdown-par/t8 kdown-par/t16 kdown-par/t32 kdown-par/t64 clique-cilk/t32 kdown-cilk/t32 clique-cilk/t32r kdown-cilk/t32r kdown-par/t32r james-cpp-max-par/t32r
mcs10_m2Dr4_s50_AB08 100000 100000 100000 100004 100005 100006 100008 100006 100000 100001 100002 100000 100000 100001 100002 100007 100002 100002 100002 100002 100002 100002
mcs10_m2Dr4_s50_AB09 100001 100000 100000 100004 100005 100006 100008 100007 100000 100000 100002 100000 100000 100001 100002 100007 100002 100002 100002 100002 100002 100001
mcs10_m2Dr6_s40_AB00 100000 100000 100000 100002 100003 100004 100008 100005 100000 100001 92288 100000 100000 100001 100002 100007 100001 100002 100001 100002 100003 93949
mcs10_m2Dr6_s40_AB01 100000 100000 100000 100003 100004 100005 100006 100004 100000 83028 57722 100000 100000 100001 100002 100006 100001 100002 100001 100002 100002 65117
mcs10_m2Dr6_s40_AB02 100000 100000 100000 100003 100003 100005 100007 100006 100000 100001 100001 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 100002
mcs10_m2Dr6_s40_AB03 100000 100000 100000 100003 100004 100004 100007 100004 99587 66326 58605 100000 100000 100001 100002 100007 100001 100002 100001 100002 100003 58602
mcs10_m2Dr6_s40_AB04 100000 100000 100000 100003 100003 100004 100007 100004 100000 100001 62014 100000 100000 100001 100002 100007 100001 100001 100001 100002 100002 64761
mcs10_m2Dr6_s40_AB05 100001 100000 100000 100003 100004 100004 100006 100004 68820 45757 36375 100000 100000 100001 100002 100006 100001 100002 100001 100002 100002 37087
mcs10_m2Dr6_s40_AB06 100000 100000 100000 100003 100003 100005 100007 100005 56967 40663 35203 100000 100000 100001 100002 100007 100000 100002 100001 100002 100003 34920
mcs10_m2Dr6_s40_AB07 100000 100000 100000 100003 100003 100005 100007 100004 53910 32390 24836 100000 100000 100001 100002 100006 100001 100002 100000 100002 100003 25494
