instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_r02_s30_AB04 100000 35800 8404 6901
mcs10_r02_s30_AB05 100000 29185 5952 4337
mcs10_r02_s30_AB06 100000 30099 5406 6443
mcs10_r02_s30_AB07 100000 22781 4203 2977
mcs10_r02_s30_AB08 100000 38365 8831 8372
mcs10_r02_s30_AB09 100000 36107 9014 7047
mcs10_r02_s35_AB00 100000 100000 100003 100002
mcs10_r02_s35_AB01 100000 100000 95677 73023
mcs10_r02_s35_AB02 100000 100000 100003 100002
mcs10_r02_s35_AB03 100000 100000 100004 100003
mcs10_r02_s35_AB04 100000 100000 97726 100002
mcs10_r02_s35_AB05 100000 100000 92591 100002
mcs10_r02_s35_AB06 100000 100000 100004 100002
mcs10_r02_s35_AB07 100000 100000 92376 87355
mcs10_r02_s35_AB08 100000 100000 100004 100002
mcs10_r02_s35_AB09 100000 100000 100003 100002
mcs10_r02_s40_AB00 100000 100000 100005 100002
mcs10_r02_s40_AB01 100000 100000 100005 100002
mcs10_r02_s40_AB02 100000 100000 100004 100001
mcs10_r02_s40_AB03 100000 100000 100005 100001
mcs10_r02_s40_AB04 100000 100000 100004 100002
mcs10_r02_s40_AB05 100000 100000 100005 100001
mcs10_r02_s40_AB06 100000 100000 100005 100001
mcs10_r02_s40_AB07 100000 100000 100005 100001
mcs10_r02_s40_AB08 100000 100000 100005 100002
mcs10_r02_s40_AB09 100000 100000 100004 100002
mcs10_r02_s50_AB00 100000 100000 100005 100001
mcs10_r02_s50_AB01 100000 100000 100006 100001
mcs10_r02_s50_AB02 100000 100000 100006 100001
mcs10_r02_s50_AB03 100000 100000 100006 100002
mcs10_r02_s50_AB04 100000 100000 100006 100002
mcs10_r02_s50_AB05 100000 100000 100006 100002
mcs10_r02_s50_AB06 100000 100000 100006 100002
mcs10_r02_s50_AB07 100000 100000 100006 100001
mcs10_r02_s50_AB08 100000 100000 100005 100001
mcs10_r02_s50_AB09 100000 100000 100006 100001
mcs30_b03_s15_AB00 12 0 13 6
mcs30_b03_s15_AB01 20 0 15 8
mcs30_b03_s15_AB02 21 0 13 7
mcs30_b03_s15_AB03 23 2 13 9
mcs30_b03_s15_AB04 16 1 12 6
mcs30_b03_s15_AB05 18 0 16 8
mcs30_b03_s15_AB06 15 1 12 8
mcs30_b03_s15_AB07 20 2 15 8
mcs30_b03_s15_AB08 17 3 15 9
mcs30_b03_s15_AB09 20 1 15 8
mcs30_b03_s20_AB00 1080 57 74 14
mcs30_b03_s20_AB01 568 19 90 14
mcs30_b03_s20_AB02 461 13 61 13
mcs30_b03_s20_AB03 679 12 74 12
mcs30_b03_s20_AB04 1471 77 99 16
mcs30_b03_s20_AB05 663 29 93 14
mcs30_b03_s20_AB06 762 4 76 12
mcs30_b03_s20_AB07 429 7 59 8
mcs30_b03_s20_AB08 229 18 59 14
mcs30_b03_s20_AB09 523 21 74 14
mcs30_b03_s25_AB00 29150 524 1681 34
mcs30_b03_s25_AB01 11512 14 1050 11
mcs30_b03_s25_AB02 17089 1217 933 101
mcs30_b03_s25_AB03 21430 405 1069 24
mcs30_b03_s25_AB04 57592 634 2216 62
mcs30_b03_s25_AB05 33935 719 1865 152
mcs30_b03_s25_AB06 14968 90 913 22
mcs30_b03_s25_AB07 36332 587 1326 57
mcs30_b03_s25_AB08 15652 163 615 22
mcs30_b03_s25_AB09 37971 1119 1744 108
mcs30_b03_s30_AB00 100000 3103 22263 277
mcs30_b03_s30_AB01 100000 6807 30260 572
mcs30_b03_s30_AB02 100000 3268 20836 222
mcs30_b03_s30_AB03 100000 9733 38586 358
mcs30_b03_s30_AB04 100000 4230 17908 281
mcs30_b03_s30_AB05 100000 4486 18679 841
mcs30_b03_s30_AB06 100000 2660 30224 317
mcs30_b03_s30_AB07 100000 4288 22979 367
mcs30_b03_s30_AB08 100000 3382 26822 294
mcs30_b03_s30_AB09 100000 1862 33182 165
mcs30_b03_s35_AB00 100000 100000 100004 6585
mcs30_b03_s35_AB01 100000 100000 100004 19978
mcs30_b03_s35_AB02 100000 9175 100004 500
mcs30_b03_s35_AB03 100000 56030 100004 2433
mcs30_b03_s35_AB04 100000 45207 100004 3382
mcs30_b03_s35_AB05 100000 100000 100005 3951
mcs30_b03_s35_AB06 100000 6141 100004 683
mcs30_b03_s35_AB07 100000 35095 100004 1949
mcs30_b03_s35_AB08 100000 68811 100004 5017
mcs30_b03_s35_AB09 100000 20797 100004 2534
mcs30_b03_s40_AB00 100000 100000 100004 43993
mcs30_b03_s40_AB01 100000 100000 100005 10253
mcs30_b03_s40_AB02 100000 100000 100005 40851
mcs30_b03_s40_AB03 100000 95631 100004 16580
mcs30_b03_s40_AB04 100000 100000 100006 43350
mcs30_b03_s40_AB05 100000 100000 100005 22165
mcs30_b03_s40_AB06 100000 100000 100005 100001
mcs30_b03_s40_AB07 100000 100000 100005 43616
mcs30_b03_s40_AB08 100000 100000 100004 100001
mcs30_b03_s40_AB09 100000 100000 100004 78081
mcs30_b03_s50_AB00 100000 100000 100006 100001
mcs30_b03_s50_AB01 100001 100000 100005 100001
mcs30_b03_s50_AB02 100000 100000 100006 100001
mcs30_b03_s50_AB03 100000 100000 100006 100001
mcs30_b03_s50_AB04 100000 100000 100007 100001
mcs30_b03_s50_AB05 100001 100000 100007 100002
mcs30_b03_s50_AB06 100000 100000 100005 100002
mcs30_b03_s50_AB07 100000 100000 100006 100001
mcs30_b03_s50_AB08 100000 100000 100006 100002
mcs30_b03_s50_AB09 100000 100000 100006 100001
mcs30_b03m_s15_AB00 31 1 15 7
mcs30_b03m_s15_AB01 15 0 15 8
mcs30_b03m_s15_AB02 18 1 13 7
mcs30_b03m_s15_AB03 15 1 14 8
mcs30_b03m_s15_AB04 24 0 18 7
mcs30_b03m_s15_AB05 15 0 14 7
mcs30_b03m_s15_AB06 24 1 16 8
mcs30_b03m_s15_AB07 22 1 17 8
mcs30_b03m_s15_AB08 28 2 16 10
mcs30_b03m_s15_AB09 19 1 14 6
mcs30_b03m_s20_AB00 697 22 74 12
mcs30_b03m_s20_AB01 407 12 68 12
mcs30_b03m_s20_AB02 1358 127 102 15
mcs30_b03m_s20_AB03 683 34 79 12
mcs30_b03m_s20_AB04 509 18 84 11
mcs30_b03m_s20_AB05 454 8 59 12
mcs30_b03m_s20_AB06 655 71 81 12
mcs30_b03m_s20_AB07 678 36 84 14
mcs30_b03m_s20_AB08 529 21 81 13
mcs30_b03m_s20_AB09 803 29 79 13
mcs30_b03m_s25_AB00 33215 240 2063 23
mcs30_b03m_s25_AB01 8795 325 492 27
mcs30_b03m_s25_AB02 18861 207 1114 45
mcs30_b03m_s25_AB03 21520 152 1043 19
mcs30_b03m_s25_AB04 27813 1252 1446 63
mcs30_b03m_s25_AB05 29837 266 1031 46
mcs30_b03m_s25_AB06 29143 640 1645 82
mcs30_b03m_s25_AB07 23481 209 987 22
mcs30_b03m_s25_AB08 58233 1340 2724 74
mcs30_b03m_s25_AB09 10710 217 513 19
mcs30_b03m_s30_AB00 100000 3377 26928 234
