instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32
mcs10_b06m_s70_AB01 5725037 101103383 6119663 6689060 8321055 9353999 8508901 49986272 50135705 49734472
mcs10_b06m_s70_AB02 20309552 NaN 19010625 19706258 20380648 24270020 20364216 469827363 470155259 470092793
mcs10_b06m_s70_AB03 6152692 139740967 6123851 4717263 5028120 5014366 5057499 140965500 91972987 141027080
mcs10_b06m_s70_AB04 6764627 NaN 7161648 7634032 6761293 6840620 6896080 193122877 197153096 200316165
mcs10_b06m_s70_AB05 3769795 NaN 3474350 1979671 2113310 2242522 2098483 276019985 168303421 169245104
mcs10_b06m_s70_AB06 8811753 NaN 9996568 8971445 9589080 9928842 9598991 528122318 497777639 498221334
mcs10_b06m_s70_AB07 6443032 NaN 5850056 6219119 7157120 8266643 7035952 NaN NaN NaN
mcs10_b06m_s70_AB08 17153746 74290670 15702910 13569358 11969568 15101299 11999803 62187669 51190426 63510974
mcs10_b06m_s70_AB09 57646114 NaN 56109054 56877359 56651922 56454833 56543840 NaN NaN NaN
mcs10_b06m_s80_AB00 NaN NaN 227617567 218831763 219485506 220054457 219509030 NaN NaN NaN
mcs10_b06m_s80_AB01 NaN NaN 223149489 228702085 239993985 246445699 239718904 NaN NaN NaN
mcs10_b06m_s80_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s80_AB03 NaN NaN 109029762 107712890 109551255 112405488 109577977 NaN NaN 533428036
mcs10_b06m_s80_AB04 NaN NaN 84250303 84789235 87805052 85353265 87634362 NaN NaN NaN
mcs10_b06m_s80_AB05 NaN NaN 273226371 319874245 295253896 218224770 295002181 NaN NaN NaN
mcs10_b06m_s80_AB06 NaN NaN NaN 668162647 677554489 689904371 677385769 NaN NaN NaN
mcs10_b06m_s80_AB07 NaN NaN NaN NaN 995849505 996414343 995760184 NaN NaN NaN
mcs10_b06m_s80_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s80_AB09 NaN NaN 324227433 330438458 361572381 434930092 361426807 NaN NaN NaN
mcs10_b06m_s90_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b09_s100_AB00 19016883 NaN 16660822 17224016 17700792 18296588 17733070 NaN NaN NaN
mcs10_b09_s100_AB01 5397593 NaN 5656842 7342288 7830439 7372176 7729481 NaN NaN NaN
mcs10_b09_s100_AB02 46363348 NaN 54267477 63365572 81837961 74601828 81790382 NaN NaN NaN
mcs10_b09_s100_AB03 NaN NaN 102131219 106159440 114660856 135095651 113955102 NaN NaN NaN
mcs10_b09_s100_AB04 9442932 NaN 10074294 10686841 12116975 13859523 12214099 NaN NaN NaN
mcs10_b09_s100_AB05 30646016 NaN 34186450 31248708 32364259 32391530 32393962 NaN NaN NaN
mcs10_b09_s100_AB06 4279524 NaN 4772097 5098324 6243224 6252340 6195233 273219562 272586743 273680947
mcs10_b09_s100_AB07 13067435 NaN 11387827 13860505 13350603 15666609 12641969 NaN NaN NaN
