instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_r01_s50_AB07 1000000 1000000 1000004 1000001
mcs10_r01_s50_AB08 1000000 1000000 1000003 1000001
mcs10_r01_s50_AB09 1000000 1000000 1000004 1000001
mcs10_r02_s20_AB00 560 177 78 44
mcs10_r02_s20_AB01 345 74 47 25
mcs10_r02_s20_AB02 247 75 39 27
mcs10_r02_s20_AB03 404 122 64 32
mcs10_r02_s20_AB04 387 135 66 39
mcs10_r02_s20_AB05 369 221 71 50
mcs10_r02_s20_AB06 330 169 49 34
mcs10_r02_s20_AB07 472 171 61 43
mcs10_r02_s20_AB08 368 129 72 43
mcs10_r02_s20_AB09 405 124 44 33
mcs10_r02_s25_AB00 5864 1344 349 235
mcs10_r02_s25_AB01 9322 1601 465 299
mcs10_r02_s25_AB02 7489 1953 414 299
mcs10_r02_s25_AB03 6796 1088 385 136
mcs10_r02_s25_AB04 7391 1595 435 314
mcs10_r02_s25_AB05 7158 1568 403 264
mcs10_r02_s25_AB06 8003 2059 416 301
mcs10_r02_s25_AB07 9504 2398 523 523
mcs10_r02_s25_AB08 4619 1288 326 199
mcs10_r02_s25_AB09 7639 1595 446 329
mcs10_r02_s30_AB00 95952 19559 3238 2617
mcs10_r02_s30_AB01 116172 23869 4256 3857
mcs10_r02_s30_AB02 138489 22516 4635 4813
mcs10_r02_s30_AB03 139777 26088 4781 4626
mcs10_r02_s30_AB04 142515 25807 4912 4965
mcs10_r02_s30_AB05 109206 20998 3862 3243
mcs10_r02_s30_AB06 107377 25519 3947 5771
mcs10_r02_s30_AB07 77319 16594 2819 2021
mcs10_r02_s30_AB08 159750 27545 5493 6285
mcs10_r02_s30_AB09 158114 25768 5596 5243
mcs10_r02_s35_AB00 1000000 334922 103590 79432
mcs10_r02_s35_AB01 1000000 355875 95353 63142
mcs10_r02_s35_AB02 1000000 343771 93168 82605
mcs10_r02_s35_AB03 1000000 376468 95806 81656
mcs10_r02_s35_AB04 1000000 320058 82615 71581
mcs10_r02_s35_AB05 1000000 344060 81140 87379
mcs10_r02_s35_AB06 1000000 458206 127072 117915
mcs10_r02_s35_AB07 1000000 285943 85912 58153
mcs10_r02_s35_AB08 1000000 412388 97832 88378
mcs10_r02_s35_AB09 1000000 391809 112175 89641
mcs10_r02_s40_AB00 1000000 1000000 657648 428588
mcs10_r02_s40_AB01 1000000 1000000 978090 459979
mcs10_r02_s40_AB02 1000000 1000000 889108 705113
mcs10_r02_s40_AB03 1000000 1000000 1000003 954761
mcs10_r02_s40_AB04 1000000 1000000 1000002 868459
mcs10_r02_s40_AB05 1000000 1000000 934403 905194
mcs10_r02_s40_AB06 1000000 1000000 1000003 1000003
mcs10_r02_s40_AB07 1000000 1000000 1000002 839771
mcs10_r02_s40_AB08 1000000 1000000 1000002 753733
mcs10_r02_s40_AB09 1000000 1000000 894102 610885
mcs10_r02_s50_AB00 1000000 1000000 1000003 1000001
mcs10_r02_s50_AB01 1000000 1000000 1000004 1000001
mcs10_r02_s50_AB02 1000000 1000000 1000003 1000001
mcs10_r02_s50_AB03 1000000 1000000 1000003 1000001
mcs10_r02_s50_AB04 1000000 1000000 1000004 1000001
mcs10_r02_s50_AB05 1000000 1000000 1000004 1000001
mcs10_r02_s50_AB06 1000000 1000000 1000004 1000001
mcs10_r02_s50_AB07 1000000 1000000 1000004 1000001
mcs10_r02_s50_AB08 1000000 1000000 1000003 1000001
mcs10_r02_s50_AB09 1000000 1000000 1000003 1000001
mcs30_b03_s15_AB00 18 1 23 11
mcs30_b03_s15_AB01 29 1 23 8
mcs30_b03_s15_AB02 31 0 23 11
mcs30_b03_s15_AB03 37 4 24 12
mcs30_b03_s15_AB04 25 1 24 10
mcs30_b03_s15_AB05 28 1 21 12
mcs30_b03_s15_AB06 26 2 24 11
mcs30_b03_s15_AB07 31 3 19 12
mcs30_b03_s15_AB08 26 3 20 12
mcs30_b03_s15_AB09 30 2 22 11
mcs30_b03_s20_AB00 885 99 79 12
mcs30_b03_s20_AB01 533 29 106 13
mcs30_b03_s20_AB02 350 23 87 14
mcs30_b03_s20_AB03 530 14 99 10
mcs30_b03_s20_AB04 1153 126 110 15
mcs30_b03_s20_AB05 544 43 119 17
mcs30_b03_s20_AB06 712 7 82 9
mcs30_b03_s20_AB07 445 10 73 12
mcs30_b03_s20_AB08 224 42 75 14
mcs30_b03_s20_AB09 507 30 95 17
mcs30_b03_s25_AB00 19958 514 1115 34
mcs30_b03_s25_AB01 9329 12 747 10
mcs30_b03_s25_AB02 11792 911 734 91
mcs30_b03_s25_AB03 15140 395 761 21
mcs30_b03_s25_AB04 38986 544 1388 45
mcs30_b03_s25_AB05 23473 647 1109 106
mcs30_b03_s25_AB06 12211 87 632 24
mcs30_b03_s25_AB07 24763 501 951 48
mcs30_b03_s25_AB08 11063 169 494 21
mcs30_b03_s25_AB09 26513 949 1166 122
mcs30_b03_s30_AB00 545611 2277 12246 220
mcs30_b03_s30_AB01 543779 5839 19551 456
mcs30_b03_s30_AB02 388770 2399 11311 173
mcs30_b03_s30_AB03 597750 6994 20891 274
mcs30_b03_s30_AB04 307033 2984 9775 214
mcs30_b03_s30_AB05 357290 3340 10287 672
mcs30_b03_s30_AB06 623760 2276 19643 178
mcs30_b03_s30_AB07 328131 3034 13056 241
mcs30_b03_s30_AB08 472223 2314 15335 183
mcs30_b03_s30_AB09 437018 1320 18387 173
mcs30_b03_s35_AB00 1000000 80958 796829 5631
mcs30_b03_s35_AB01 1000000 193392 383005 9848
mcs30_b03_s35_AB02 1000000 6399 521270 354
mcs30_b03_s35_AB03 1000000 40031 422700 1873
mcs30_b03_s35_AB04 1000000 32250 1000003 1848
mcs30_b03_s35_AB05 1000000 75994 271927 2811
mcs30_b03_s35_AB06 1000000 5197 602157 534
mcs30_b03_s35_AB07 1000000 25174 540459 1322
mcs30_b03_s35_AB08 1000000 48773 751020 3104
mcs30_b03_s35_AB09 1000000 14483 370504 1130
mcs30_b03_s40_AB00 1000000 283914 1000003 22367
mcs30_b03_s40_AB01 1000000 169666 1000003 7657
mcs30_b03_s40_AB02 1000000 312129 1000003 22570
mcs30_b03_s40_AB03 1000000 66577 1000003 11921
mcs30_b03_s40_AB04 1000000 776980 1000003 59570
mcs30_b03_s40_AB05 1000000 287577 1000002 16748
mcs30_b03_s40_AB06 1000000 1000000 1000003 69594
mcs30_b03_s40_AB07 1000000 1000000 1000002 25891
mcs30_b03_s40_AB08 1000000 1000000 1000003 47517
mcs30_b03_s40_AB09 1000000 1000000 1000003 44810
mcs30_b03_s50_AB00 1000000 1000000 1000004 636915
mcs30_b03_s50_AB01 1000000 1000000 1000004 1000001
mcs30_b03_s50_AB02 1000000 1000000 1000004 1000001
mcs30_b03_s50_AB03 1000000 1000000 1000004 1000001
mcs30_b03_s50_AB04 1000000 1000000 1000004 1000001
mcs30_b03_s50_AB05 1000000 1000000 1000003 1000001
mcs30_b03_s50_AB06 1000000 1000000 1000004 1000001
mcs30_b03_s50_AB07 1000000 1000000 1000004 1000001
mcs30_b03_s50_AB08 1000000 1000000 1000004 1000002
mcs30_b03_s50_AB09 1000000 1000000 1000004 336341
mcs30_b03m_s15_AB00 31 1 25 10
mcs30_b03m_s15_AB01 22 0 16 10
mcs30_b03m_s15_AB02 25 1 22 10
mcs30_b03m_s15_AB03 21 2 21 9
mcs30_b03m_s15_AB04 35 1 21 9
mcs30_b03m_s15_AB05 22 1 26 9
mcs30_b03m_s15_AB06 35 3 19 13
mcs30_b03m_s15_AB07 27 1 21 11
mcs30_b03m_s15_AB08 40 3 22 11
mcs30_b03m_s15_AB09 28 2 23 9
mcs30_b03m_s20_AB00 539 19 77 11
mcs30_b03m_s20_AB01 392 15 63 11
mcs30_b03m_s20_AB02 1033 90 100 15
mcs30_b03m_s20_AB03 580 51 86 15
mcs30_b03m_s20_AB04 411 12 84 11
mcs30_b03m_s20_AB05 356 13 69 11
mcs30_b03m_s20_AB06 641 65 99 11
mcs30_b03m_s20_AB07 659 51 85 14
mcs30_b03m_s20_AB08 433 45 93 20
mcs30_b03m_s20_AB09 586 51 89 12
mcs30_b03m_s25_AB00 23365 230 1314 17
mcs30_b03m_s25_AB01 7212 310 409 26
mcs30_b03m_s25_AB02 13028 182 858 34
mcs30_b03m_s25_AB03 15021 133 735 20
mcs30_b03m_s25_AB04 19689 924 942 70
mcs30_b03m_s25_AB05 20085 232 593 22
mcs30_b03m_s25_AB06 23584 545 1142 56
mcs30_b03m_s25_AB07 16540 262 731 18
mcs30_b03m_s25_AB08 40259 1067 1791 74
mcs30_b03m_s25_AB09 7618 199 416 13
mcs30_b03m_s30_AB00 401091 2692 14923 130
mcs30_b03m_s30_AB01 288846 3423 9411 216
mcs30_b03m_s30_AB02 612207 6637 16966 610
mcs30_b03m_s30_AB03 408370 3395 14613 333
mcs30_b03m_s30_AB04 377357 5260 12455 173
mcs30_b03m_s30_AB05 518940 2099 16861 133
mcs30_b03m_s30_AB06 822709 4913 25939 576
mcs30_b03m_s30_AB07 542025 6242 20695 783
mcs30_b03m_s30_AB08 324614 4939 9620 493
mcs30_b03m_s30_AB09 536925 3308 17137 236
mcs30_b03m_s35_AB00 1000000 73191 335754 3020
mcs30_b03m_s35_AB01 1000000 23154 512601 1463
mcs30_b03m_s35_AB02 1000000 78290 767443 7077
mcs30_b03m_s35_AB03 1000000 25290 635386 1822
mcs30_b03m_s35_AB04 1000000 21382 598359 1539
mcs30_b03m_s35_AB05 1000000 9483 360261 638
mcs30_b03m_s35_AB06 1000000 30357 680662 727
mcs30_b03m_s35_AB07 1000000 14890 289463 1847
mcs30_b03m_s35_AB08 1000000 25142 208613 2770
mcs30_b03m_s35_AB09 1000000 136018 572120 11557
mcs30_b03m_s40_AB00 1000000 175647 1000003 20145
mcs30_b03m_s40_AB01 1000000 174465 1000003 14377
mcs30_b03m_s40_AB02 1000000 260161 1000003 13492
mcs30_b03m_s40_AB03 1000000 600255 1000003 22721
mcs30_b03m_s40_AB04 1000000 167302 1000003 10597
mcs30_b03m_s40_AB05 1000000 100131 1000003 15042
mcs30_b03m_s40_AB06 1000000 190397 1000003 11985
mcs30_b03m_s40_AB07 1000000 796726 1000002 66170
mcs30_b03m_s40_AB08 1000000 143273 1000004 41843
mcs30_b03m_s40_AB09 1000000 1000000 1000003 99575
mcs30_b03m_s50_AB00 1000000 1000000 1000005 1000001
mcs30_b03m_s50_AB01 1000000 1000000 1000004 322073
mcs30_b03m_s50_AB02 1000000 1000000 1000003 1000001
mcs30_b03m_s50_AB03 1000000 1000000 1000003 1000001
mcs30_b03m_s50_AB04 1000000 1000000 1000005 1000001
mcs30_b03m_s50_AB05 1000000 1000000 1000003 1000001
mcs30_b03m_s50_AB06 1000000 1000000 1000004 1000001
mcs30_b03m_s50_AB07 1000000 1000000 1000003 1000001
mcs30_b03m_s50_AB08 1000000 1000000 1000004 1000001
mcs30_b03m_s50_AB09 1000000 1000000 1000004 1000001
mcs30_b06_s25_AB00 15058 217 742 37
mcs30_b06_s25_AB01 8428 174 403 29
mcs30_b06_s25_AB02 10669 181 584 39
mcs30_b06_s25_AB03 14561 250 668 35
mcs30_b06_s25_AB04 13180 291 681 41
mcs30_b06_s25_AB05 12196 238 556 30
mcs30_b06_s25_AB06 13736 351 486 41
mcs30_b06_s25_AB07 15972 278 720 31
mcs30_b06_s25_AB08 22063 427 941 49
mcs30_b06_s25_AB09 15550 169 686 27
mcs30_b06_s30_AB00 952672 6340 27721 532
mcs30_b06_s30_AB01 721305 3152 23635 258
mcs30_b06_s30_AB02 331155 2248 9169 266
mcs30_b06_s30_AB03 590552 3353 18695 504
mcs30_b06_s30_AB04 584628 3677 19250 430
mcs30_b06_s30_AB05 869918 4728 28855 781
mcs30_b06_s30_AB06 422995 3643 14088 308
mcs30_b06_s30_AB07 385659 2766 11438 304
mcs30_b06_s30_AB08 215686 3114 7636 312
mcs30_b06_s30_AB09 646037 2095 21755 368
mcs30_b06_s35_AB00 1000000 90932 1000002 9351
mcs30_b06_s35_AB01 1000000 53523 1000002 8977
mcs30_b06_s35_AB02 1000000 35343 589673 5479
mcs30_b06_s35_AB03 1000000 58594 1000002 7655
mcs30_b06_s35_AB04 1000000 52571 1000002 8201
mcs30_b06_s35_AB05 1000000 59266 759321 6084
