instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_m2D_s90_AB00 1000000 1000000 1000002 1000001
mcs10_m2D_s90_AB01 1000000 1000000 1000002 1000001
mcs10_m2D_s90_AB02 1000000 1000000 1000002 1000001
mcs10_m2D_s90_AB03 1000000 1000000 1000002 1000001
mcs10_m2D_s90_AB04 1000000 1000000 1000002 1000002
mcs10_m2D_s90_AB05 1000000 1000000 597356 1000001
mcs10_m2D_s90_AB06 1000000 1000000 1000002 1000002
mcs10_m2D_s90_AB07 1000000 1000000 1000002 1000001
mcs10_m2D_s90_AB08 1000000 1000000 1000002 1000002
mcs10_m2D_s90_AB09 1000000 1000000 1000003 1000001
mcs10_m2Dr2_s100_AB00 165535 1000000 4243 982399
mcs10_m2Dr2_s100_AB01 1000000 1000000 208104 1000001
mcs10_m2Dr2_s100_AB02 511790 1000000 23112 1000001
mcs10_m2Dr2_s100_AB03 111046 1000000 2752 1000002
mcs10_m2Dr2_s100_AB04 87811 1000000 4814 1000002
mcs10_m2Dr2_s100_AB05 1000000 1000000 207381 1000001
mcs10_m2Dr2_s100_AB06 1000000 1000000 35786 1000002
mcs10_m2Dr2_s100_AB07 1000000 1000000 70136 1000001
mcs10_m2Dr2_s100_AB08 346297 1000000 4956 991395
mcs10_m2Dr2_s100_AB09 1000000 1000000 46957 1000001
mcs10_m2Dr2_s70_AB00 44231 204980 1452 58596
mcs10_m2Dr2_s70_AB01 224268 606365 7546 141421
mcs10_m2Dr2_s70_AB02 260114 75365 4328 32939
mcs10_m2Dr2_s70_AB03 35458 104286 1245 10476
mcs10_m2Dr2_s70_AB04 1641 24819 81 6748
mcs10_m2Dr2_s70_AB05 21120 46576 523 26028
mcs10_m2Dr2_s70_AB06 155487 1000000 16032 189075
mcs10_m2Dr2_s70_AB07 191199 536756 6297 163724
mcs10_m2Dr2_s70_AB08 385937 237894 17251 141885
mcs10_m2Dr2_s70_AB09 9523 12515 421 3041
mcs10_m2Dr2_s80_AB00 1000000 1000000 51173 1000003
mcs10_m2Dr2_s80_AB01 1000000 1000000 104640 211160
mcs10_m2Dr2_s80_AB02 1000000 1000000 1000011 748807
mcs10_m2Dr2_s80_AB03 1000000 1000000 60895 1000001
mcs10_m2Dr2_s80_AB04 1000000 1000000 159447 949851
